Date Added,OCLC No.,Title,Author,Imprint,Date,Aresenical Material,ID Method,Owner,# books
2024-05-04,6743959,Earthly care : a heavenly discipline ,"Stowe, Harriet Beecher","Boston : John P. Jewett and Co. ; Cleveland, Ohio : Jewett, Proctor and Worthington",1855,paper covering,"XRF, Raman",University of Washington ,1
2020-02-06,54211672,"Elementary Instruction in the Art of Illuminating and Missal Painting on Vellum, etc, 4th edition","Laurent de Lara, D.","London: Ackermann & Co. Strand, and all booksellers",1858,bookcloth,"XRF, Raman",Winterthur,1
2021-08-09,,Grandpapa’s Tales About Animals,"Bland, James",Halifax [Eng.]: Milner and Sowerby,1850,bookcloth,"XRF, Raman",private owner,1
2020-02-06,,"Kavanagh: a tale, Illustrated","Longfellow, Henry Wadsworth","London: W. Kent & Co. (Late D. Bogue) 86, Fleet Street",1858,bookcloth,"XRF, Raman",WUDPAC Study Collection,1
2020-02-06,4272866,"Nothing to Eat, Illustrated","Jenkins, Edward O.",New York: Dick and Fitzgerald,1857,bookcloth,"XRF, Raman",Winterthur,1
2024-05-04,23127717,Oeuvres completes (volume 10 only tested of 16 volume set),"Condillac, Etienne Bonnot de",Paris: Baudouin freres,1827,paper over boards,"XRF, Raman",University of Washington ,16
2024-05-04,55226107,Peter Parley’s annual for 1875,"George, Ben ",London : Ben George ,1875,green onlay,"XRF, Raman",University of Washington ,1
2020-02-06,,Plants of the Holy Land,"Osborn, Henry S.",Philadelphia : Parry & McMillan,1860,bookcloth,"XRF, Raman","Winterthur, American Antiquarian Society",2
2020-02-06,1044734,"Tallis’s history and description of the Crystal palace, and the Exhibition of the world’s industry in 1851, Vol. 1","Tallis, John",London & New York: J. Tallis and Co.,1852,bookcloth,"XRF, Raman",Winterthur,1
2020-02-06,1044734,"Tallis’s history and description of the Crystal palace, and the Exhibition of the world’s industry in 1851, Vol. 2","Tallis, John",London & New York: J. Tallis and Co.,1852,bookcloth,"XRF, Raman",Winterthur,1
2020-02-06,1044734,"Tallis’s history and description of the Crystal palace, and the Exhibition of the world’s industry in 1851, Vol. 3","Tallis, John",London & New York: J. Tallis and Co.,1852,bookcloth,"XRF, Raman",Winterthur,1
2024-05-04,4479824,The gaberlunzie’s wallet,"Ballantine, James",Edinburgh: Edinburgh Pub. Co ,1874,paper over boards,"XRF, Raman",University of Washington ,1
2020-02-06,,The Gem Annual…,,Philadelphia : E. H. Butler & Co.,1854,bookcloth,"XRF, Raman",Winterthur,1
2024-05-04,7730537,"The poetical works of Sir Walter Scott, Bart","Scott, Walter",London: George Routledge and Sons,187-?,green onlay,"XRF, Raman",University of Washington ,1
2024-05-04,772580618,"The rhyme and reason of country life, or, Selections from fields old and new","Cooper, Susan Fenimore",New York : G.P. Putnam,1855,bookcloth,"XRF, Raman",University of Washington ,1
2024-05-04,1008245509,The sad history of Greedy Jem and all his little brothers,"Bennett, Charles H.","London : Routledge, Warne & Routledge",1858?,paper over boards,"XRF, Raman",University of Washington ,1
2024-05-04,1008136914,"The World’s Fair, or, Children’s prize gift book of the Great Exhibition of 1851 : describing the beautiful inventions and manufactures exhibited therein : with pretty stories about the people who have made and sent them and how they live when at home",,"London : Thomas Dean and Son, 35, Threadneedle-Street : Ackermann and Co. 96, Strand ",1851,bookcloth,"XRF, Raman",University of Washington ,1
2022-04-05,,Traité practique de l’Eclairage par le Gaz Inflammable,"Accum, Frederick",Paris: chez l’Auteur et Nepveu libraire,1816,paper covering,"XRF, Raman",Ronald Smeltzer,1
2023-02-28,12258102,Almanach dramatischer Spiele zur geselligen Unterhaltung auf dem Lande.,,Hamburg.,1803,textblock edges,"XRF, FTIR, Raman",Northwestern University,1
,,,,,,,,,
2023-02-28,30475788,Aphorismen aus Theodor Parows nachlass,,Berlin: Duncker und Humblot,1839,paper cover,"XRF, FTIR, Raman",Northwestern University,1
,,,,,,,,,
2023-02-28,29646561,Biblische abhandlungen,"Sommer, Johann Georg",Bonn: H.B. König,1846,paper cover,"XRF, FTIR, Raman",Northwestern University,1
2023-02-28,31101355,Irish melodies,"Moore, Thomas",,1866,bookcloth,"XRF, FTIR, Raman",Northwestern University,1
,,,,,,,,,
2024-05-04,1223633181,"A new and corrected map of the Isle of Wight, designed in a manner peculiarly calculated to assist pleasure visitors in their excursions thro’ the Island.","Brannon, George",Wootton Common: Geo. Brannon,1847,Paper covering,XRF,"Hartley Library, University of Southampton",1
